# {"t_start": 1567929268.6531463, "env_id": "PickbotReachOrientDoorHandle-v5"} 
r,l,t
0,47,7895.426831
0,16,7901.662703
0,28,7909.950009
0,16,7916.157887
0,13,7919.929769
0,25,7925.836478
0,52,7939.169771
0,16,7945.466567
1,2,7948.940084
0,47,7961.114089
0,36,7968.998263
0,32,7978.404912
0,33,7987.28006
0,16,7993.489718
0,18,8001.190709
0,6,8003.349103
1,2,8007.462586
0,14,8013.360969
0,33,8021.695772
1,2,8025.495872
0,23,8030.95575
0,41,8041.811306
1,2,8045.340527
0,25,8051.441668
0,27,8057.933558
0,25,8066.150788
0,7,8068.245651
0,16,8074.302576
0,5,8077.722826
0,2,8081.167181
0,36,8092.515345
0,38,8102.63648
0,38,8113.701918
0,31,8123.984679
0,16,8130.444952
1,2,8134.224127
0,16,8141.316494
0,27,8147.763521
0,1,8149.722077
0,22,8155.075672
0,37,8162.981443
0,32,8172.465361
1,1,8174.928711
0,16,8181.181912
1,2,8185.355566
1,2,8189.501852
0,10,8192.133368
0,1,8192.8498
0,24,8198.635276
1,2,8202.10048
0,24,8207.855134
0,16,8214.295016
1,1,8216.717832
0,15,8220.658311
0,18,8227.250423
0,40,8238.085489
1,2,8241.669537
0,50,8254.822301
0,35,8263.49074
0,33,8273.021551
1,2,8276.570574
0,56,8290.448621
0,43,8301.851127
0,39,8312.735257
0,22,8318.20018
0,16,8324.476784
0,44,8336.089901
0,27,8344.506582
1,2,8348.26111
1,2,8352.170521
0,9,8355.797445
0,16,8361.97825
0,30,8370.742708
0,32,8380.206729
0,16,8386.489918
1,2,8390.412615
0,28,8399.156462
0,40,8409.886103
0,45,8420.906649
0,16,8427.240099
1,2,8431.037493
0,19,8437.876523
0,16,8444.138746
0,18,8450.661911
0,2,8454.429522
1,2,8458.374735
0,45,8469.552234
0,29,8478.22228
1,39,8488.291347
0,29,8498.012399
0,16,8502.312901
0,39,8512.935688
0,17,8519.305637
0,38,8529.688777
0,38,8540.211449
1,2,8544.30288
