# {"t_start": 1559913751.1606753, "env_id": "PickbotPickContinuousDoorHandle-v0"} 
r,l,t
-6.519759,4,1132.398554
-6.847732,4,1134.094306
-7.800534,5,1136.635028
-4.428033,2,1137.471256
-8.872357,6,1140.111798
-3.674789,1,1140.416222
-4.788503,2,1141.281364
-12.950553,10,1145.928577
-3.472247,1,1146.232038
-4.57772,2,1147.114162
-4.944421,2,1148.018115
-3.164164,1,1148.343026
-4.957147,2,1149.578405
-5.770544,3,1150.802366
-4.826292,2,1151.845588
-3.615638,1,1152.151854
-10.887166,8,1155.711059
-3.505208,1,1156.224963
-3.748067,1,1156.528822
-3.699237,1,1156.840782
-3.899075,1,1157.357705
-3.589916,1,1157.657494
-3.601564,1,1157.963936
-5.946527,3,1159.597883
-3.956786,1,1160.121993
-7.90002,5,1162.374708
-3.723088,1,1162.683161
-3.254291,1,1163.005021
-4.991271,2,1163.789838
-7.950543,5,1165.868557
-3.658038,1,1166.246397
-4.826828,2,1166.978637
-8.605633,6,1169.84146
-3.598682,1,1170.14739
-4.690792,2,1171.097003
-4.787431,2,1171.923126
-4.390343,2,1172.632168
-3.39365,1,1172.935319
-7.984784,5,1175.844024
-3.37708,1,1176.170775
-3.934377,1,1176.718519
-9.840289,7,1179.936447
-5.909289,3,1181.207475
-3.352931,1,1181.538545
-6.840703,4,1183.473263
-6.976446,4,1185.547178
-7.972006,5,1187.514858
-9.635576,7,1190.274169
-4.996406,2,1191.127805
-4.995746,2,1192.081171
-5.668293,3,1193.332387
-5.868552,3,1194.435915
-3.547674,1,1194.925777
-3.950765,1,1195.453753
-4.927662,2,1196.245461
-4.924729,2,1197.38744
-5.821213,3,1198.764482
-9.298617,7,1201.919671
-7.69338,5,1203.996534
-8.995151,6,1206.905653
-3.736778,1,1207.214831
-4.758556,2,1208.086307
-3.647911,1,1208.395141
-4.926312,2,1209.32479
-4.657755,2,1209.927984
-3.651951,1,1210.231761
-12.732687,10,1214.620973
-5.932262,3,1215.818675
-5.97877,3,1217.182914
-6.841724,4,1218.688617
-4.798317,2,1219.62079
-5.780338,3,1221.013233
-5.719596,3,1222.083251
-3.539074,1,1222.413816
-3.629758,1,1222.722017
-9.617767,7,1225.823226
-3.674977,1,1226.128252
-7.836367,5,1228.343265
-5.93432,3,1230.075576
-3.607655,1,1230.380293
-3.329841,1,1230.707675
-4.923753,2,1231.355675
-4.999978,2,1232.37913
-4.533188,2,1233.052718
-5.592801,3,1234.436499
-4.707794,2,1235.3547
-8.247448,6,1237.735095
-11.914645,9,1241.565111
-15.335147,13,1247.041205
-4.913984,2,1247.879573
-4.20303,2,1248.574195
