# {"env_id": "PickbotReachOrientDoorHandle-v5", "t_start": 1567723370.4598494} 
r,l,t
0,15,4526.644051
0,34,4536.09327
1,2,4539.587928
0,29,4548.08093
0,12,4551.530539
0,31,4560.302658
0,23,4565.872791
0,42,4576.607327
0,13,4582.195216
0,23,4588.203993
0,2,4591.626149
0,14,4594.747837
0,43,4605.868825
0,35,4615.678822
0,19,4622.420241
0,45,4634.004162
0,25,4641.940257
0,10,4645.618356
0,35,4653.807684
0,18,4660.381521
0,26,4668.380565
0,50,4681.387429
0,31,4688.089602
0,37,4698.020281
0,27,4705.278599
0,10,4709.417328
0,46,4721.090554
0,16,4727.290521
0,16,4733.445181
0,6,4735.698845
0,24,4742.468172
0,12,4747.698245
0,18,4754.361215
0,27,4762.544232
0,25,4770.348295
0,17,4776.607408
0,27,4786.08797
0,29,4796.737873
0,17,4803.613142
0,32,4813.02875
0,48,4826.128818
0,14,4832.001404
0,21,4839.106305
1,2,4843.182106
0,28,4851.368596
0,17,4856.40539
0,18,4863.053972
0,43,4874.390346
0,15,4880.296161
1,2,4884.167933
1,28,4891.537841
0,17,4897.716892
0,36,4905.377469
0,3,4906.91615
1,2,4910.894069
0,6,4912.744854
0,36,4922.408637
0,26,4930.264582
0,9,4935.054302
0,11,4938.302191
0,47,4949.876134
0,14,4956.035077
0,26,4963.95567
0,25,4971.88994
1,2,4975.49517
0,2,4976.945868
0,4,4978.673149
0,4,4981.826492
0,20,4987.979148
0,44,4999.389359
1,2,5003.032229
0,37,5012.574239
0,5,5016.554381
1,2,5020.399045
0,29,5029.12947
0,26,5035.538899
0,37,5044.93784
0,50,5056.675939
0,27,5063.398287
0,18,5069.131861
0,50,5080.854221
1,2,5084.870842
0,7,5086.873077
1,2,5090.561165
0,13,5096.325441
0,25,5104.155276
0,34,5113.615736
0,3,5115.988497
0,47,5127.955496
0,18,5132.013442
0,13,5137.483
0,18,5142.716805
0,27,5150.861175
0,35,5160.427292
0,36,5167.807907
0,23,5173.093967
0,34,5182.360013
0,35,5192.100457
1,2,5195.78334
0,5,5197.924832
1,2,5201.777021
1,28,5210.214238
0,1,5211.323697
0,16,5215.950429
0,54,5229.2715
0,14,5235.064363
0,29,5242.823927
0,42,5254.049325
0,25,5260.827908
0,16,5267.072596
0,49,5280.985523
0,9,5285.695729
0,33,5294.131115
0,25,5299.896762
0,45,5311.593019
0,24,5319.998029
0,16,5326.288126
0,22,5333.778649
0,49,5346.059833
0,10,5349.542339
0,25,5357.224176
0,25,5364.956855
0,1,5366.971586
1,2,5370.502409
0,42,5381.525301
0,42,5392.399186
0,51,5406.472802
0,25,5412.049776
0,14,5417.704819
0,2,5421.217176
0,2,5424.746375
1,2,5428.537338
1,28,5436.116659
0,29,5444.571476
0,16,5450.771696
0,28,5459.2041
0,20,5465.220399
0,26,5473.199501
0,53,5485.031909
0,25,5493.215972
1,1,5495.826521
0,21,5502.975064
0,44,5512.980824
0,7,5517.397356
0,44,5528.73397
1,29,5537.515283
0,16,5543.732297
0,19,5550.39974
0,40,5560.851238
0,19,5565.618722
0,40,5576.430183
1,2,5580.286421
1,27,5587.809539
0,11,5592.863513
1,2,5596.329443
0,24,5601.762061
1,1,5604.112734
0,2,5607.961259
0,40,5618.71154
0,21,5625.687321
0,16,5631.848747
0,2,5635.317953
0,17,5641.679357
0,43,5652.885479
0,29,5661.60224
0,17,5668.033961
1,2,5671.973084
0,5,5673.694136
0,8,5678.257019
0,47,5690.326951
0,28,5698.690953
1,2,5702.112347
0,37,5712.237485
0,55,5725.983531
0,10,5729.940334
0,18,5734.289077
0,16,5740.499068
0,13,5746.092956
0,16,5752.257704
0,43,5763.456165
0,37,5773.529743
0,2,5775.729828
0,25,5783.457799
1,4,5787.772867
1,2,5791.771195
0,52,5805.217011
0,29,5812.832429
0,40,5822.986943
0,25,5830.842048
0,36,5840.564313
0,32,5849.794898
0,42,5861.022169
0,37,5870.97947
0,51,5883.88067
0,19,5888.78455
0,34,5898.187513
0,30,5907.381826
0,16,5913.597079
0,26,5921.582762
0,24,5929.325587
1,2,5933.263224
0,37,5943.48236
0,35,5951.234907
0,16,5957.372156
0,23,5963.390066
0,35,5970.96115
0,19,5977.891094
0,3,5981.592211
0,16,5987.887159
0,2,5991.437195
1,2,5995.319891
1,2,5999.327601
1,23,6006.877261
0,44,6018.110896
0,14,6023.790558
1,2,6027.227263
0,34,6035.325869
1,2,6039.056727
0,51,6051.833532
0,2,6055.385819
0,6,6057.644031
0,13,6063.183972
0,32,6072.416542
0,51,6083.747652
0,44,6095.000619
0,16,6100.423343
0,19,6108.245106
0,25,6116.188491
0,18,6122.758002
0,36,6130.521921
1,2,6134.683631
0,6,6136.68672
0,18,6143.181621
1,2,6147.043681
0,16,6153.221389
0,18,6159.718549
1,2,6163.604714
0,6,6165.453029
0,2,6166.348098
0,29,6174.747118
0,48,6186.16821
0,9,6189.179175
0,40,6199.859082
0,39,6210.572775
1,2,6214.468296
0,27,6221.5372
0,15,6227.643522
0,44,6238.894706
0,7,6241.229597
1,2,6244.992939
0,3,6247.428907
0,25,6253.997695
0,2,6255.872585
0,9,6260.572914
0,36,6269.073397
1,2,6272.56697
0,16,6278.693342
0,28,6287.105552
